Timestamp,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10
2025-11-10 08:20:00,3,2,3,2,3,2,3,3,3,3
2025-11-10 08:20:30,3,3,3,3,3,4,3,3,3,3
2025-11-10 08:21:00,3,3,4,2,4,2,3,3,4,3
2025-11-10 08:21:30,4,2,4,2,4,2,4,2,4,2
2025-11-10 08:22:00,4,2,4,2,3,2,4,2,4,2
2025-11-10 08:22:30,4,3,4,3,4,2,3,2,4,2
2025-11-10 08:23:00,5,1,4,1,5,1,5,1,5,1
2025-11-10 08:23:30,4,2,4,3,4,2,4,2,4,2
2025-11-10 08:24:00,4,2,4,2,4,2,4,2,5,1
2025-11-10 08:24:30,5,2,4,1,5,1,5,1,5,1
2025-11-10 08:25:00,3,3,3,2,3,3,3,3,3,3
2025-11-10 08:25:30,4,2,3,3,3,3,3,3,3,3
2025-11-10 08:26:00,4,1,4,1,4,1,4,1,5,1
2025-11-10 08:26:30,4,3,3,2,3,3,3,2,3,3
2025-11-10 08:27:00,4,2,4,3,4,2,4,2,3,3
2025-11-10 08:27:30,5,2,5,2,4,2,4,2,4,2
2025-11-10 08:28:00,4,2,4,1,4,2,4,2,4,2
2025-11-10 08:28:30,4,2,5,1,4,1,5,1,5,2
2025-11-10 08:29:00,4,1,4,1,4,1,4,1,4,2
2025-11-10 08:29:30,4,2,5,2,4,2,4,2,4,1
2025-11-10 08:30:00,4,3,4,3,4,3,3,3,3,3
2025-11-10 08:30:30,4,2,5,2,4,2,4,2,4,2
2025-11-10 08:31:00,4,2,4,2,4,2,3,2,4,2
2025-11-10 08:31:30,3,2,3,3,3,3,3,3,3,3
2025-11-10 08:32:00,5,2,5,2,4,1,4,2,5,2
2025-11-10 08:32:30,4,2,4,2,4,1,4,2,4,2
2025-11-10 08:33:00,4,2,4,2,4,3,3,2,4,3
2025-11-10 08:33:30,3,3,4,3,4,2,4,2,4,3
2025-11-10 08:34:00,3,3,3,3,3,3,3,3,4,3
2025-11-10 08:34:30,3,3,4,2,4,2,4,2,4,2
2025-11-10 08:35:00,4,2,4,2,3,2,4,2,4,2
2025-11-10 08:35:30,4,3,4,3,3,3,4,3,3,3
2025-11-10 08:36:00,5,1,4,1,4,2,4,2,4,2
2025-11-10 08:36:30,3,3,3,3,3,3,4,3,4,3
2025-11-10 08:37:00,3,4,3,4,3,3,3,3,3,4
2025-11-10 08:37:30,5,2,4,2,4,2,4,2,4,1
2025-11-10 08:38:00,4,3,3,3,4,3,3,2,4,2
2025-11-10 08:38:30,4,2,3,2,4,2,4,2,3,3
2025-11-10 08:39:00,3,2,3,3,3,3,4,3,3,2
2025-11-10 08:39:30,3,3,3,3,3,4,3,3,3,3
2025-11-10 08:40:00,4,1,4,2,5,2,4,1,4,2
2025-11-10 08:40:30,3,3,3,2,4,3,3,2,4,3
2025-11-10 08:41:00,4,2,4,2,5,2,5,1,5,1
2025-11-10 08:41:30,4,2,4,2,4,2,4,2,5,2
2025-11-10 08:42:00,4,3,4,3,4,3,3,2,4,2
2025-11-10 08:42:30,3,2,4,3,3,3,3,3,3,3
2025-11-10 08:43:00,4,2,4,3,4,3,3,3,3,3
2025-11-10 08:43:30,3,3,3,3,3,3,3,3,3,2
2025-11-10 08:44:00,5,1,4,2,5,2,5,1,5,1
2025-11-10 08:44:30,3,2,4,2,4,2,4,3,4,2
2025-11-10 08:45:00,4,2,4,1,4,2,5,2,5,2
2025-11-10 08:45:30,3,3,3,3,3,3,3,3,3,2
2025-11-10 08:46:00,4,2,3,2,4,3,4,2,4,2
2025-11-10 08:46:30,5,2,4,2,5,2,4,2,4,1
2025-11-10 08:47:00,4,2,4,3,4,2,3,3,3,2
2025-11-10 08:47:30,4,2,4,2,4,2,4,1,5,2
2025-11-10 08:48:00,3,3,3,3,4,2,3,3,3,3
2025-11-10 08:48:30,4,3,3,3,3,3,3,3,3,3
2025-11-10 08:49:00,4,3,4,2,4,2,4,2,4,2
2025-11-10 08:49:30,4,3,3,2,3,2,3,3,4,2
